"20MICRONS","INE144J01027"
"BHUSANSTL","INE824B01021"
"BIGBLOC","INE412U01017"
"BIL","INE828A01016"
"BILENERGY","INE607L01029"
"BILPOWER","INE952D01018"
"BINANIIND","INE071A01013"
"BINDALAGRO","INE143A01010"
"BIOCON","INE376G01013"
"BIRLACABLE","INE800A01015"
"BIRLACORPN","INE340A01012"
"BIRLAMONEY","INE865C01022"
"BLBLIMITED","INE791A01024"
"BLISSGVS","INE416D01022"
"BLKASHYAP","INE350H01032"
"BLS","INE153T01027"
"BLUEBLENDS","INE113O01014"
"BLUECOAST","INE472B01011"
"BLUEDART","INE233B01017"
"BLUESTARCO","INE472A01039"
"BODALCHEM","INE338D01028"
"BOMDYEING","INE032A01023"
"BOSCHLTD","INE323A01026"
"BPCL","INE029A01011"
"BPL","INE110A01019"
"BRFL","INE589G01011"
"BRIGADE","INE791I01019"
"BRITANNIA","INE216A01022"
"BROOKS","INE650L01011"
"BSE","INE118H01025"
"BSELINFRA","INE395A01016"
"BSL","INE594B01012"
"BSLIMITED","INE043K01029"
"BURNPUR","INE817H01014"
"BUTTERFLY","INE295F01017"
"BVCL","INE139I01011"
"BYKE","INE319B01014"
"CADILAHC","INE010B01027"
"CALSOFT","INE526B01014"
"CAMLINFINE","INE052I01032"
"CANBK","INE476A01014"
"CANDC","INE874H01015"
"CANFINHOME","INE477A01012"
"CANTABIL","INE068L01016"
"CAPF","INE688I01017"
"CAPLIPOINT","INE475E01026"
"CAPTRUST","INE707C01018"
"CARBORUNIV","INE120A01034"
"CAREERP","INE521J01018"
"CARERATING","INE752H01013"
"CASTEXTECH","INE068D01021"
"CASTROLIND","INE172A01027"
"CCCL","INE429I01024"
"CCHHL","INE652F01027"
"CCL","INE421D01022"
"CEATLTD","INE482A01020"
"CEBBCO","INE209L01016"
"CELEBRITY","INE185H01016"
"CELESTIAL","INE221I01017"
"CENTENKA","INE485A01015"
"CENTEXT","INE281A01026"
"CENTRALBK","INE483A01010"
"CENTUM","INE320B01020"
"CENTURYPLY","INE348B01021"
"CENTURYTEX","INE055A01016"
"CERA","INE739E01017"
"CEREBRAINT","INE345B01019"
"CESC","INE486A01013"
"CGCL","INE180C01026"
"CGPOWER","INE067A01029"
"CHAMBLFERT","INE085A01013"
"CHENNPETRO","INE178A01016"
"CHOLAFIN","INE121A01016"
"CHROMATIC","INE662C01015"
"CIGNITITEC","INE675C01017"
"CIMMCO","INE184C01028"
"CINELINE","INE704H01022"
"CINEVISTA","INE039B01026"
"CIPLA","INE059A01026"
"CLEDUCATE","INE201M01011"
"CLNINDIA","INE492A01029"
"CMICABLES","INE981B01011"
"CNOVAPETRO","INE672K01025"
"COALINDIA","INE522F01014"
"COFFEEDAY","INE335K01011"
"COLPAL","INE259A01022"
"COMPINFO","INE070C01037"
"COMPUSOFT","INE453B01029"
"CONCOR","INE111A01017"
"CONSOFINVT","INE025A01027"
"CONTROLPR","INE663B01015"
"CORALFINAC","INE558D01013"
"CORDSCABLE","INE792I01017"
"COROMANDEL","INE169A01031"
"CORPBANK","INE112A01023"
"COSMOFILMS","INE757A01017"
"COUNCODOS","INE695B01025"
"COX&KINGS","INE008I01026"
"CREATIVEYE","INE230B01021"
"CREST","INE559D01011"
"CRISIL","INE007A01025"
"CROMPTON","INE299U01018"
"CTE","INE627H01017"
"CUB","INE491A01021"
"CUBEXTUB","INE144D01012"
"CUMMINSIND","INE298A01020"
"CUPID","INE509F01011"
"CURATECH","INE117B01012"
"CYBERMEDIA","INE278G01037"
"CYBERTECH","INE214A01019"
"CYIENT","INE136B01020"
"DAAWAT","INE818H01020"
"DABUR","INE016A01026"
"DALMIABHA","INE439L01019"
"DALMIASUG","INE495A01022"
"DAMODARIND","INE497D01014"
"DATAMATICS","INE365B01017"
"DBCORP","INE950I01011"
"DBL","INE917M01012"
"DBREALTY","INE879I01012"
"DBSTOCKBRO","INE921B01025"
"DCBBANK","INE503A01015"
"DCM","INE498A01018"
"DCMSHRIRAM","INE499A01024"
"DCW","INE500A01029"
"DECCANCE","INE583C01013"
"DEEPAKFERT","INE501A01019"
"DEEPAKNTR","INE288B01029"
"DEEPIND","INE677H01012"
"DELTACORP","INE124G01033"
"DELTAMAGNT","INE393A01011"
"DEN","INE947J01015"
"DENABANK","INE077A01010"
"DENORA","INE244A01016"
"DFMFOODS","INE456C01012"
"DHAMPURSUG","INE041A01016"
"DHANBANK","INE680A01011"
"DHANUKA","INE435G01025"
"DHARSUGAR","INE988C01014"
"DHFL","INE202B01012"
"DHUNINV","INE320L01011"
"DIAPOWER","INE989C01012"
"DICIND","INE303A01010"
"DIGJAMLTD","INE731U01010"
"DISHTV","INE836F01026"
"DIVISLAB","INE361B01024"
"DLF","INE271C01023"
"DLINKINDIA","INE250K01012"
"DMART","INE192R01011"
"DOLLAR","INE325C01027"
"DOLPHINOFF","INE920A01011"
"DONEAR","INE668D01028"
"DPL","INE477B01010"
"DPSCLTD","INE360C01024"
"DQE","INE656K01010"
"DREDGECORP","INE506A01018"
"DRREDDY","INE089A01023"
"DSKULKARNI","INE891A01014"
"DSSL","INE417B01040"
"DTIL","INE341R01014"
"DUCON","INE741L01018"
"DWARKESH","INE366A01033"
"DYNAMATECH","INE221B01012"
"EASTSILK","INE962C01027"
"EASUNREYRL","INE268C01029"
"ECEIND","INE588B01014"
"ECLERX","INE738I01010"
"EDELWEISS","INE532F01054"
"EDL","INE180G01019"
"EDUCOMP","INE216H01027"
"EICHERMOT","INE066A01013"
"EIDPARRY","INE126A01031"
"EIHAHOTELS","INE276C01014"
"EIHOTEL","INE230A01023"
"EIMCOELECO","INE158B01016"
"EKC","INE184H01027"
"ELAND","INE311H01018"
"ELECON","INE205B01023"
"ELECTCAST","INE086A01029"
"ELECTHERM","INE822G01016"
"ELGIEQUIP","INE285A01027"
"ELGIRUBCO","INE819L01012"
"EMAMIINFRA","INE778K01012"
"EMAMILTD","INE548C01032"
"EMCO","INE078A01026"
"EMKAY","INE296H01011"
"EMMBI","INE753K01015"
"ENDURANCE","INE913H01037"
"ENERGYDEV","INE306C01019"
"ENGINERSIN","INE510A01028"
"ENIL","INE265F01028"
"EON","INE076H01025"
"EQUITAS","INE988K01017"
"EROSMEDIA","INE416L01017"
"ESABINDIA","INE284A01012"
"ESCORTS","INE042A01014"
"ESL","INE481K01013"
"ESSARSHPNG","INE122M01019"
"ESSDEE","INE825H01017"
"ESSELPACK","INE255A01020"
"ESTER","INE778B01029"
"EUROCERA","INE649H01011"
"EUROMULTI","INE063J01011"
"EUROTEXIND","INE022C01012"
"EVEREADY","INE128A01029"
"EVERESTIND","INE295A01018"
"EXCEL","INE688J01015"
"EXCELCROP","INE223G01017"
"EXCELINDUS","INE369A01029"
"EXIDEIND","INE302A01020"
"FACT","INE188A01015"
"FAGBEARING","INE513A01014"
"FAIRCHEM","INE959A01019"
"FCL","INE045J01026"
"FCONSUMER","INE220J01025"
"FCSSOFT","INE512B01022"
"FDC","INE258B01022"
"FEDDERELEC","INE249C01011"
"FEDERALBNK","INE171A01029"
"FEL","INE623B01027"
"FELDVR","IN9623B01058"
"FIEMIND","INE737H01014"
"FILATEX","INE816B01019"
"FINCABLES","INE235A01022"
"FINPIPE","INE183A01016"
"FIRSTWIN","INE315J01015"
"FLEXITUFF","INE060J01017"
"FLFL","INE452O01016"
"FMGOETZE","INE529A01010"
"FMNL","INE360L01017"
"FORTIS","INE061F01013"
"FOSECOIND","INE519A01011"
"FRETAIL","INE752P01024"
"FSL","INE684F01012"
"GABRIEL","INE524A01029"
"GAEL","INE036B01022"
"GAIL","INE129A01019"
"GAL","INE482J01021"
"GALLANTT","INE297H01019"
"GALLISPAT","INE528K01011"
"GAMMNINFRA","INE181G01025"
"GAMMONIND","INE259B01020"
"GANDHITUBE","INE524B01027"
"GANECOS","INE845D01014"
"GANESHHOUC","INE460C01014"
"GANGOTRI","INE670B01028"
"GARDENSILK","INE526A01016"
"GARWALLROP","INE276A01018"
"GATI","INE152B01027"
"GAYAPROJ","INE336H01023"
"GDL","INE852F01015"
"GEECEE","INE916G01016"
"GEMINI","INE878C01033"
"GENESYS","INE727B01026"
"GENUSPAPER","INE949P01018"
"GENUSPOWER","INE955D01029"
"GEOJITFSL","INE007B01023"
"GEPIL","INE878A01011"
"GESHIP","INE017A01032"
"GET&D","INE200A01026"
"GHCL","INE539A01019"
"GICHSGFIN","INE289B01019"
"GILLANDERS","INE047B01011"
"GILLETTE","INE322A01010"
"GINNIFILA","INE424C01010"
"GIPCL","INE162A01010"
"GISOLUTION","INE065J01016"
"GITANJALI","INE346H01014"
"GKWLIMITED","INE528A01020"
"GLAXO","INE159A01016"
"GLENMARK","INE935A01035"
"GLFL","INE540A01017"
"GLOBALVECT","INE792H01019"
"GLOBOFFS","INE446C01013"
"GLOBUSSPR","INE615I01010"
"GMBREW","INE075D01018"
"GMDCLTD","INE131A01031"
"GMRINFRA","INE776C01039"
"GNA","INE934S01014"
"GNFC","INE113A01013"
"GOACARBON","INE426D01013"
"GOCLCORP","INE077F01035"
"GODFRYPHLP","INE260B01028"
"GODREJCP","INE102D01028"
"GODREJIND","INE233A01035"
"GODREJPROP","INE484J01027"
"GOENKA","INE516K01024"
"GOKEX","INE887G01027"
"GOKUL","INE020J01029"
"GOKULAGRO","INE314T01025"
"GOLDENTOBC","INE973A01010"
"GOLDIAM","INE025B01017"
"GOLDINFRA","INE260D01016"
"GOLDTECH","INE805A01014"
"GOODLUCK","INE127I01024"
"GPIL","INE177H01013"
"GPPL","INE517F01014"
"GPTINFRA","INE390G01014"
"GRANULES","INE101D01020"
"GRAPHITE","INE371A01025"
"GRASIM","INE047A01021"
"GRAVITA","INE024L01027"
"GREAVESCOT","INE224A01026"
"GREENFIRE","INE217G01027"
"GREENLAM","INE544R01013"
"GREENPLY","INE461C01038"
"GREENPOWER","INE999K01014"
"GRINDWELL","INE536A01023"
"GROBTEA","INE646C01018"
"GRPLTD","INE137I01015"
"GRUH","INE580B01029"
"GSCLCEMENT","INE542A01039"
"GSFC","INE026A01025"
"GSKCONS","INE264A01014"
"GSPL","INE246F01010"
"GSS","INE871H01011"
"GTL","INE043A01012"
"GTLINFRA","INE221H01019"
"GTNIND","INE537A01013"
"GTNTEX","INE302H01017"
"GTOFFSHORE","INE892H01017"
"GUFICBIO","INE742B01025"
"GUJALKALI","INE186A01019"
"GUJAPOLLO","INE826C01016"
"GUJFLUORO","INE538A01037"
"GUJGASLTD","INE844O01022"
"GUJNRECOKE","INE110D01013"
"GUJNREDVR","IN9110D01011"
"GULFOILLUB","INE635Q01029"
"GULFPETRO","INE586G01017"
"GULPOLY","INE255D01024"
"GVKPIL","INE251H01024"
"HANUNG","INE648H01013"
"HARITASEAT","INE939D01015"
"HARRMALAYA","INE544A01019"
"HATHWAY","INE982F01036"
"HATSUN","INE473B01035"
"HAVELLS","INE176B01034"
"HBLPOWER","INE292B01021"
"HBSTOCK","INE550B01014"
"HCC","INE549A01026"
"HCG","INE075I01017"
"HCL-INSYS","INE236A01020"
"HCLTECH","INE860A01027"
"HDFC","INE001A01036"
"HDFCBANK","INE040A01026"
"HDIL","INE191I01012"
"HEG","INE545A01016"
"HEIDELBERG","INE578A01017"
"HERCULES","INE688E01024"
"HERITGFOOD","INE978A01019"
"HEROMOTOCO","INE158A01026"
"HESTERBIO","INE782E01017"
"HEXATRADEX","INE750M01017"
"HEXAWARE","INE093A01033"
"HFCL","INE548A01028"
"HGS","INE170I01016"
"HIGHGROUND","INE361M01021"
"HIKAL","INE475B01022"
"HIL","INE557A01011"
"HILTON","INE788H01017"
"HIMATSEIDE","INE049A01027"
"HINDALCO","INE038A01020"
"HINDCOMPOS","INE310C01029"
"HINDCOPPER","INE531E01026"
"HINDDORROL","INE551A01022"
"HINDMOTORS","INE253A01025"
"HINDNATGLS","INE952A01022"
"HINDOILEXP","INE345A01011"
"HINDPETRO","INE094A01015"
"HINDSYNTEX","INE155B01012"
"HINDUJAVEN","INE353A01023"
"HINDUNILVR","INE030A01027"
"HINDZINC","INE267A01025"
"HIRECT","INE835D01023"
"HISARMETAL","INE598C01011"
"HITECHCORP","INE120D01012"
"HITECHGEAR","INE127B01011"
"HMT","INE262A01018"
"HMVL","INE871K01015"
"HOCL","INE048A01011"
"HONAUT","INE671A01010"
"HONDAPOWER","INE634A01018"
"HOTELEELA","INE102A01024"
"HOTELRUGBY","INE275F01019"
"HOVS","INE596H01014"
"HPL","INE495S01016"
"HSCL","INE019C01026"
"HSIL","INE415A01038"
"HTMEDIA","INE501G01024"
"HUBTOWN","INE703H01016"
"HUDCO","INE031A01017"
"IBREALEST","INE069I01010"
"IBULHSGFIN","INE148I01020"
"IBVENTURES","INE274G01010"
"ICICIBANK","INE090A01021"
"ICICIPRULI","INE726G01019"
"ICIL","INE483B01026"
"ICRA","INE725G01011"
"ICSA","INE306B01029"
"IDBI","INE008A01015"
"IDEA","INE669E01016"
"IDFC","INE043D01016"
"IDFCBANK","INE092T01019"
