"2017-11-30 22:02:17.172768"
"StockName","LastTrade","LastHi","Hi52","LastLo","Lo52","EPS","PE","DivYield","LastDiv","NetProfitMargin","OperatingMargin","EBITDMargin","ReturnOnAverageAssets","ReturnOnAverageEquity","ExchangeCode","Exchange"
"Bhansali Engineering Polymers Ltd.","193.10","193.10","193.10","186.25","21.40","2.09","92.60","0.10","0.20","4.91%","8.10%","8.87%","8.99%","24.39%","500052","BSE"
"Bharat Bijlee Ltd.","1,154.10","1,158.80","1,498.70","1,112.10","749.00","30.10","38.34","","","2.96%","1.25%","2.74%","2.96%","6.94%","503960","BSE"
"Bharat Electronics Ltd","186.20","190.00","1,342.36","185.50","130.36","1.72","108.24","1.10","0.95","16.55%","16.97%","19.27%","8.42%","17.94%","500049","BSE"
"Bharat Agri Fert & Realty Ltd","142.75","146.40","160.00","141.50","72.35","2.52","56.61","","","-1.42%","-0.41%","5.41%","-0.55%","-0.84%","531862","BSE"
"Bharat Forge Ltd","694.10","698.00","749.00","688.55","425.00","1.24","558.31","0.65","2.00","10.57%","14.41%","19.31%","8.14%","18.37%","500493","BSE"
"Bharat Gears Ltd","192.25","200.35","212.45","187.10","94.30","3.97","48.38","","","-0.31%","2.93%","7.04%","-0.47%","-1.85%","505688","BSE"
"Bharat Petroleum Corp Ltd","502.75","513.05","550.00","500.25","399.33","2.92","171.97","3.28","0.67","3.51%","4.70%","5.56%","8.76%","28.34%","500547","BSE"
"Bharat Seats Ltd","245.95","246.50","264.00","232.00","50.30","6.87","35.79","0.37","0.90","1.31%","2.09%","3.93%","4.73%","21.06%","523229","BSE"
"Bharati Defence and Infrastructure Ltd","8.44","8.44","18.04","7.64","6.96","22.86","0.37","","","-1204.98%","-1436.53%","-61.73%","-25.70%","","532609","BSE"
"Bharti Airtel Limited","493.85","499.80","565.00","490.00","289.25","3.98","124.21","0.20","1.00","4.44%","15.07%","37.69%","1.85%","5.66%","532454","BSE"
"Bhartiya International Ltd","559.95","559.95","698.80","543.25","447.10","21.53","26.00","0.21","1.20","3.49%","3.77%","4.76%","3.75%","9.21%","526666","BSE"
"BCL Industries & Infrastructure Ltd","137.20","137.20","137.20","135.10","33.70","9.70","14.15","0.73","1.00","1.49%","4.19%","5.45%","2.30%","10.73%","524332","BSE"
"Bheema Cements Ltd","9.10","","26.23","","9.10","-14.70","","","","","","","-4.35%","-23.74%","518017","BSE"
"Bharat Heavy Electricals Limited","91.90","93.40","93.40","91.60","51.62","8.49","10.83","1.15","0.52","1.54%","0.84%","3.72%","0.72%","1.41%","500103","BSE"
"Bhilwara Technical Textiles Ltd","19.10","20.45","22.50","18.60","7.36","","","","","","","","0.13%","1.29%","533108","BSE"
"Bhushan Steel Ltd","70.65","71.30","102.80","69.70","39.10","19.71","3.59","","","-23.30%","8.45%","19.71%","-5.83%","-1117.18%","500055","BSE"
"Bhuwalka Steel Industries Ltd","4.46","","9.39","","4.46","","","","","-2.26%","-3.90%","-5.42%","-2.84%","-312.83%","513333","BSE"
"Bihar Sponge Iron Ltd","1.94","1.94","3.02","1.78","1.40","-0.25","","","","","","","-4.75%","","500058","BSE"
"Bilcare Ltd","71.30","73.90","79.95","64.10","44.00","-70.83","","","","-2.98%","3.11%","7.10%","-2.22%","-12.75%","526853","BSE"
"Bilpower Ltd","1.18","1.18","1.56","1.18","0.88","-56.03","","","","37.26%","18.82%","-17.02%","10.10%","","531590","BSE"
"Bimetal Bearings Limited","535.00","539.25","583.00","517.00","349.00","11.04","48.46","1.40","7.50","2.55%","1.38%","3.44%","2.16%","2.53%","505681","BSE"
"Binani Industries Ltd","95.85","98.70","104.40","93.50","63.05","51.96","1.84","","","-12.10%","2.24%","9.33%","-6.14%","","500059","BSE"
"Biocon Ltd","432.25","436.45","440.35","423.40","294.00","7.55","57.22","0.23","1.00","17.55%","17.97%","25.04%","7.71%","13.80%","532523","BSE"
"Biopac India Corp Ltd","18.95","19.40","31.90","18.55","13.60","0.31","60.49","","","0.21%","9.51%","21.01%","0.16%","0.49%","532330","BSE"
"Birla Shloka Edutech Ltd","1.46","","2.80","","1.46","3.08","0.47","","","-288.84%","-942.73%","-491.55%","-1.17%","-1.82%","511607","BSE"
"Birla Corporation Limited","1,130.00","1,130.00","1,228.75","1,080.00","608.90","13.54","83.46","0.58","6.50","4.41%","7.58%","12.85%","2.94%","7.05%","500335","BSE"
"Birla Cotsyn (India) Ltd","0.08","","0.11","","0.05","-0.48","","","","-78.78%","-23.48%","-11.61%","-22.56%","","533006","BSE"
"Birla Cable Ltd","68.15","68.15","68.15","64.50","35.80","1.21","56.44","1.47","1.00","1.51%","2.67%","6.32%","1.44%","3.40%","500060","BSE"
"Birla Power Solutions Limited","0.09","","0.31","","0.05","-0.17","","","","1.25%","8.06%","8.57%","1.03%","1.53%","517001","BSE"
"Birla Precision Technologies Ltd","5.91","5.91","6.96","5.61","3.08","-4.78","","","","-19.00%","-17.63%","5.66%","-15.27%","-25.36%","522105","BSE"
"Birla Pacific Medspa Limited","0.28","","0.76","","0.25","-0.17","","","","-409.20%","-577.19%","-113.65%","-8.42%","-8.56%","533469","BSE"
"Bits Ltd","0.20","","0.47","","0.19","-0.50","","","","-165.94%","-194.05%","-193.81%","-19.29%","-27.34%","526709","BSE"
"B.L. Kashyap and Sons Limited","63.65","64.90","71.95","63.30","17.80","5.56","11.45","","","-1.46%","5.78%","7.94%","-0.75%","-3.37%","532719","BSE"
"Black Rose Industries Ltd","40.15","41.35","42.45","36.50","21.00","","","0.25","0.10","1.93%","4.67%","5.80%","4.79%","20.10%","514183","BSE"
"BLB Ltd","7.10","7.40","8.77","7.04","5.21","","","","","0.19%","1.02%","1.19%","0.51%","0.86%","532290","BSE"
"Bliss GVS Pharma Limited","193.00","196.80","202.75","193.00","129.00","9.87","19.56","0.31","0.60","14.55%","21.90%","24.45%","13.31%","19.11%","506197","BSE"
"Bloom Dekor Ltd","62.45","62.45","84.90","62.00","36.20","-4.81","","","","-3.56%","1.23%","4.66%","-3.32%","-17.60%","526225","BSE"
"BLS Infotech Ltd","0.21","0.21","0.37","0.21","0.19","0.00","","","","0.03%","-0.29%","-0.29%","0.05%","0.05%","531175","BSE"
"Blue Circle Services Ltd","38.00","","43,500.00","","38.00","-4.92","","","","-1.57%","-2.01%","0.06%","-0.53%","-1.06%","508939","BSE"
"Blue Dart Express Limited","4,129.00","4,129.00","5,422.00","4,086.00","3,830.65","","","0.36","15.00","5.20%","8.86%","12.72%","10.49%","34.47%","526612","BSE"
"Blue Star Ltd","752.00","752.00","828.00","713.00","439.95","13.60","55.28","1.00","7.50","2.76%","3.67%","5.04%","4.71%","17.74%","500067","BSE"
"Blue Star Infotech Ltd.","0.00","","315.70","","231.00","16.79","0.00","","","6.97%","7.78%","9.43%","11.25%","16.81%","532346","BSE"
"Blue Bird (India) Limited","0.85","","3.41","","0.83","-64.92","","","","-2175.85%","-2175.85%","-1076.66%","","","532781","BSE"
"Blue Coast Hotels Ltd","133.00","","151.80","","113.00","","","","","-4.55%","12.64%","17.64%","-0.75%","-5.53%","531495","BSE"
"BNK Capital Markets Ltd","113.25","116.95","137.95","113.05","33.00","3.74","30.27","1.32","1.50","250.56%","4.48%","10.00%","12.58%","17.44%","500069","BSE"
"Bank of Baroda Ltd","169.05","172.75","206.60","168.40","133.60","6.12","27.61","0.71","1.20","7.79%","13.26%","24.39%","0.25%","4.24%","532134","BSE"
"Bank of India","196.25","197.95","216.70","194.10","102.60","18.95","10.35","","","-8.48%","-12.83%","","-0.26%","-4.39%","532149","BSE"
"BNR Udyog Ltd","25.60","26.10","62.40","25.60","24.70","1.05","24.35","2.73","0.70","2.55%","1.78%","3.44%","3.13%","6.14%","530809","BSE"
"Linde India Ltd","520.00","526.30","554.90","518.00","343.65","1.82","285.15","0.14","0.75","0.83%","6.05%","16.80%","0.41%","1.10%","523457","BSE"
"Bodal Chemicals Ltd","169.90","172.10","193.60","169.20","117.25","-2.88","","0.47","0.50","10.41%","16.35%","18.29%","21.31%","43.30%","524370","BSE"
"Bombay Dyeing and Manufacturing Company","221.35","221.90","245.70","209.25","44.50","0.99","224.65","0.32","0.70","3.24%","3.95%","7.05%","1.21%","4.57%","500020","BSE"
"Bombay Burmah Trading Corporation Ltd","1,524.20","1,559.00","1,735.35","1,485.90","474.00","","","0.07","1.00","8.84%","11.63%","12.98%","15.22%","20.51%","501425","BSE"
"Bombay Oxygen Corporation Ltd","5,680.50","","7,985.00","","5,000.00","350.53","16.21","0.35","20.00","24.82%","-42.53%","-25.40%","1.84%","1.94%","509470","BSE"
"Bombay Rayon Fashions Limited","195.60","205.90","214.00","194.00","111.00","","","","","-4.17%","10.93%","15.41%","-1.78%","-6.84%","532678","BSE"
"Borax Morarji Ltd","0.00","","67.95","","36.20","10.59","0.00","","","-8.14%","-2.66%","-1.02%","-9.05%","-200.83%","506315","BSE"
"Borosil Glass Works Ltd","886.75","902.50","10,188.00","880.00","790.00","13.07","67.84","0.28","2.50","23.72%","5.26%","10.89%","14.96%","18.54%","502219","BSE"
"Bosch Ltd","20,395.95","22,062.20","25,245.20","20,004.25","18,800.00","482.38","42.28","0.81","90.00","12.84%","13.43%","17.49%","11.93%","15.76%","500530","BSE"
"BPL Ltd","79.45","84.00","89.40","76.60","53.00","12.13","6.55","","","56.19%","-27.96%","-27.31%","16.46%","19.97%","500074","BSE"
"Brady & Morris Engineering. Company Ltd","77.70","77.70","96.20","77.70","55.60","0.66","116.94","","","0.12%","3.12%","5.94%","0.09%","0.20%","505690","BSE"
"Brakes Auto (India) Ltd","0.93","","5.60","","0.85","0.04","22.33","","","78.58%","-4.15%","24.88%","0.31%","0.35%","520115","BSE"
