"2017-11-30 22:02:17.172768"
"StockName","LastTrade","LastHi","Hi52","LastLo","Lo52","EPS","PE","DivYield","LastDiv","NetProfitMargin","OperatingMargin","EBITDMargin","ReturnOnAverageAssets","ReturnOnAverageEquity","ExchangeCode","Exchange"
"Arihant Superstructures Ltd","161.50","165.15","211.00","156.50","91.00","7.95","20.31","0.62","1.00","19.43%","33.50%","34.05%","6.52%","33.61%","506194","BSE"
"Arihant Capital Markets Ltd","172.50","173.95","204.50","162.50","40.20","10.66","16.18","0.43","0.75","20.11%","25.41%","26.42%","9.81%","18.18%","511605","BSE"
"Arman Financial Services Ltd","266.00","269.50","287.85","262.40","165.00","5.08","52.36","","1.00","11.80%","60.42%","60.97%","3.08%","12.47%","531179","BSE"
"Aro Granite Industries Ltd","72.45","75.70","89.90","68.05","57.00","3.27","22.18","1.38","1.00","5.29%","8.48%","12.30%","4.09%","7.69%","513729","BSE"
"Aroni Commercials Ltd","115.10","","115.10","","68.90","0.43","269.25","","","1193.68%","3.36%","11.58%","17.01%","17.09%","512273","BSE"
"Arora Fibres Ltd","9.71","","15.40","","9.71","","","","","","","","","","521174","BSE"
"Arrow Textiles Ltd","47.35","47.80","58.40","46.90","35.05","1.78","26.57","3.17","1.50","7.27%","9.99%","18.26%","7.40%","9.84%","533068","BSE"
"Arshiya Ltd","102.00","104.50","113.65","101.00","26.80","-25.08","","","","-146.65%","-38.40%","15.15%","-11.63%","","506074","BSE"
"ARSS Infrastructure Projects Ltd","66.90","66.90","86.25","54.70","38.75","-195.23","","","","-38.88%","-31.68%","-27.85%","-14.98%","-152.50%","533163","BSE"
"Artefact Projects Ltd","34.50","34.50","42.95","34.50","20.25","1.77","19.52","","","-17.19%","-4.73%","-1.65%","-5.51%","-13.56%","531297","BSE"
"VJTF Eduservices Ltd","69.15","","74.10","","32.00","-2.66","","","","-2.80%","27.04%","18.33%","-0.75%","7.47%","509026","BSE"
"Artson Engineering Ltd","90.00","92.30","93.60","89.10","43.00","4.88","18.44","","","25.95%","3.32%","4.18%","25.50%","","522134","BSE"
"Arvind Limited","435.50","444.35","461.95","435.00","321.60","11.50","37.87","0.55","2.40","3.54%","6.80%","10.21%","3.87%","10.32%","500101","BSE"
"Arvind Remedies Ltd","4.70","","21.49","","3.78","10.55","0.45","","","6.27%","17.35%","18.84%","6.07%","24.31%","531823","BSE"
"Asahi India Glass Ltd","377.85","384.95","438.55","361.85","168.00","6.21","60.80","0.26","1.00","5.37%","12.98%","17.62%","5.46%","32.23%","515030","BSE"
"Asahi Infrastructure And Projects Ltd","1.36","","1.62","","0.97","","","","","","","","","","512535","BSE"
"Asahi Songwon Colors Limited","341.50","345.50","368.00","340.00","211.50","22.28","15.33","1.17","3.00","9.70%","15.50%","18.26%","10.78%","17.10%","532853","BSE"
"Aseem Global Ltd","2.70","","3.36","","2.12","-11.69","","","","-6.76%","-5.46%","-5.34%","-10.49%","-143.50%","534564","BSE"
"Ashapura Minechem Ltd","100.70","104.45","104.45","99.15","47.05","-3.14","","","","-1.68%","2.31%","8.46%","-1.21%","-150.62%","527001","BSE"
"Ashiana Housing Ltd.","174.35","175.80","250.35","172.80","129.20","7.80","22.34","0.14","0.25","17.53%","22.26%","24.34%","5.58%","9.76%","523716","BSE"
"Ashiana Ispat Ltd","29.00","29.00","40.00","26.75","9.81","7.28","3.99","","","1.49%","3.91%","4.61%","3.27%","12.59%","513401","BSE"
"Ashima Ltd","31.20","31.65","36.70","30.25","13.25","7.37","4.24","","","13.37%","18.68%","-6.45%","12.37%","67.28%","514286","BSE"
"Ashirwad Capital Ltd","3.04","3.08","5.80","2.80","2.20","","","1.32","0.04","","","","","","512247","BSE"
"Ashirwad Steels And Industries Ltd","17.37","","20.71","","9.10","0.49","35.18","","","42.27%","-70.82%","-36.85%","1.47%","1.53%","526847","BSE"
"Ashok Leyland Ltd","117.95","122.55","133.00","117.20","74.40","-0.63","","1.32","1.56","6.80%","11.41%","14.76%","6.73%","27.34%","500477","BSE"
"Ashoka Buildcon Ltd","250.80","254.50","268.50","246.95","141.00","-4.78","","0.64","0.80","-4.20%","20.87%","30.05%","-1.13%","-0.59%","533271","BSE"
"Ashok Alco-Chem Ltd","97.30","100.00","117.50","97.30","75.00","7.02","13.86","1.03","1.00","2.20%","3.55%","4.20%","2.83%","7.44%","524594","BSE"
"Asian Electronics Ltd","1.78","","4.09","","1.48","27.33","0.07","","","-94.41%","-102.81%","-85.23%","-4.02%","-342.99%","503940","BSE"
"Asian Granito India Ltd","506.70","532.35","532.35","499.75","203.85","14.59","34.72","0.26","0.80","3.73%","8.16%","11.39%","3.88%","10.24%","532888","BSE"
"Asian Hotels West Ltd","292.90","","332.20","","145.05","","","0.34","1.00","-9.14%","15.64%","30.17%","-2.93%","-17.51%","533221","BSE"
"Asian Oilfield Services Ltd","206.25","214.90","249.60","200.00","81.50","-2.63","","","","-14.80%","-9.89%","-10.98%","-9.69%","-40.07%","530355","BSE"
"Asian Paints Ltd","1,147.75","1,157.00","1,261.25","1,123.15","850.10","19.22","59.73","0.72","2.65","11.51%","15.73%","17.72%","16.89%","27.09%","500820","BSE"
"Asian Tea and Exports Ltd","19.40","20.35","24.50","19.30","12.00","1.63","11.89","","","1.04%","1.00%","1.79%","0.53%","3.79%","519532","BSE"
"Asian Hotels North Ltd","135.00","135.00","152.90","130.25","97.05","58.06","2.33","","","-6.45%","23.86%","32.49%","-0.78%","-2.12%","500023","BSE"
"Asit C Mehta Financial Services Ltd","51.00","52.25","61.55","51.00","15.35","-10.21","","","","-10.30%","5.46%","13.63%","-2.63%","-14.46%","530723","BSE"
"ASM Technologies Ltd","140.00","140.00","148.00","133.95","100.00","2.54","55.21","3.57","2.50","1.43%","5.65%","7.72%","1.55%","2.37%","526433","BSE"
"Assam Company India Limited","6.91","7.14","9.30","5.73","3.91","","","","","-34.80%","-17.40%","-11.13%","-5.90%","-73.32%","500024","BSE"
"Associated Stone Industries (Kotah) Ltd","41.65","42.80","49.25","40.00","19.05","2.91","14.32","0.72","0.30","7.21%","10.61%","16.02%","5.02%","10.94%","502015","BSE"
"Astec LifeSciences Limited","543.95","554.25","694.80","510.40","475.00","7.55","72.09","0.28","1.50","6.12%","12.16%","19.91%","5.78%","14.93%","533138","BSE"
"Shri Aster Silicates Ltd","1.28","","3.09","","1.11","-10.55","","","","","","","-28.62%","","533219","BSE"
"Astra Microwave Products Limited","117.45","120.95","149.40","116.00","101.05","7.67","15.32","0.85","1.00","12.69%","17.40%","23.17%","8.91%","12.66%","532493","BSE"
"Astral Poly Technik Ltd","838.00","849.30","849.30","834.05","368.00","12.66","66.21","0.07","0.25","6.81%","10.02%","12.46%","10.46%","18.61%","532830","BSE"
"Astrazeneca Pharma India Ltd","1,135.35","1,150.00","1,278.00","1,130.50","882.55","18.51","61.32","","","4.53%","3.51%","6.44%","6.26%","14.53%","506820","BSE"
"Atharv Enterprises Ltd","1.63","1.66","3.30","1.57","1.28","0.02","80.30","","","15.96%","28.89%","32.20%","0.81%","1.09%","530187","BSE"
