"2017-11-30 23:09:11.325591"
"StockName","LastTrade","LastHi","Hi52","LastLo","Lo52","EPS","PE","DivYield","LastDiv","NetProfitMargin","OperatingMargin","EBITDMargin","ReturnOnAverageAssets","ReturnOnAverageEquity","ExchangeCode","Exchange"
"Century Enka Limited","329.75","330.75","454.00","325.00","256.30","33.73","9.78","2.12","7.00","6.79%","9.76%","13.64%","8.52%","11.15%","500280","BSE"
"Century Extrusions Limited","4.76","4.76","9.70","4.40","3.90","0.16","30.71","","","0.67%","3.89%","5.98%","1.27%","3.15%","500083","BSE"
"Century Textile and Industries Ltd","1,313.10","1,352.95","1,421.00","1,307.30","746.00","24.00","54.71","0.42","5.50","1.48%","7.35%","11.08%","1.21%","5.11%","500040","BSE"
"Century Plyboards India Ltd","316.50","319.55","327.00","314.35","154.50","2.48","127.47","0.32","1.00","9.86%","12.96%","16.01%","14.02%","30.63%","532548","BSE"
"Cera Sanitaryware Ltd","3,740.00","3,790.00","3,790.00","3,670.00","1,880.00","53.33","70.13","0.32","12.00","9.67%","14.88%","17.07%","10.91%","21.08%","532443","BSE"
"Cerebra Integrated Technologies Ltd","47.45","52.05","61.25","46.50","18.00","1.01","46.79","","","4.84%","5.21%","5.27%","4.72%","6.98%","532413","BSE"
"CESC Ltd","1,005.00","1,028.00","1,079.70","1,005.00","570.00","22.62","44.44","1.00","10.00","5.83%","17.77%","25.94%","2.17%","6.51%","500084","BSE"
"Chaman Lal Setia Exports Ltd","110.25","113.40","123.80","109.50","68.50","7.56","14.59","0.36","0.40","7.81%","12.24%","13.11%","17.69%","30.15%","530307","BSE"
"Chambal Fertilisers & Chemicals Ltd (P)","143.20","145.00","157.10","138.05","61.25","","","1.33","1.90","5.02%","9.11%","10.43%","4.70%","19.21%","500085","BSE"
"Chandni Textiles Engineering Indstrs Ltd","53.00","53.00","60.70","49.20","9.03","0.76","70.16","","","0.92%","-3.84%","-2.17%","","","522292","BSE"
"Chartered Logistics Ltd(NDA)","19.85","20.10","28.00","19.50","18.00","1.19","16.73","","","7.56%","11.66%","12.99%","12.33%","30.88%","531977","BSE"
"CHD Developers Ltd","12.50","13.50","13.50","12.26","7.31","0.55","22.62","0.80","0.10","3.84%","11.48%","12.95%","0.97%","4.61%","526917","BSE"
"Chembond Chemicals Ltd","252.60","262.60","277.00","248.50","179.70","7.92","31.90","0.65","1.65","3.90%","3.88%","5.24%","3.69%","3.69%","530871","BSE"
"Chemcel BioTech Limited","0.95","","3.40","","0.95","0.05","18.66","","","0.20%","0.31%","3.89%","","","533026","BSE"
"Chemfab Alkalis Ltd","261.40","","360.00","","83.10","6.57","39.79","0.48","1.25","11.02%","11.97%","21.27%","10.82%","19.68%","506894","BSE"
"Chennai Petroleum Corporation Limited","424.65","429.45","477.10","413.75","252.10","51.04","8.32","4.95","21.00","2.59%","3.94%","4.78%","9.53%","35.56%","500110","BSE"
"Chettinad Cement Corporation Pvt Ltd","709.55","","1,071.75","","671.20","","","","","8.46%","12.64%","25.01%","8.81%","16.62%","590001","BSE"
"Cheviot Company Ltd.","1,281.35","1,298.00","1,417.90","1,265.00","865.00","106.15","12.07","0.08","1.00","11.67%","9.95%","11.62%","9.63%","10.38%","526817","BSE"
"CHL Limited","18.05","18.05","32.95","18.05","15.95","-4.61","","","","-31.21%","-16.29%","6.75%","-5.90%","-41.32%","532992","BSE"
"Choice International Ltd","89.00","89.00","103.90","89.00","41.50","2.74","32.53","1.12","1.00","4.62%","18.93%","20.64%","2.32%","8.78%","531358","BSE"
"Cholamandalam Investment and Fin Co Ltd","1,275.05","1,292.00","1,355.05","1,273.00","805.10","52.76","24.17","0.43","2.00","15.30%","23.53%","25.61%","2.45%","18.06%","511243","BSE"
"Chordia Food Products Ltd","128.00","129.00","170.95","122.05","91.00","-0.74","","","","-1.39%","1.23%","3.72%","-1.44%","-2.14%","519475","BSE"
"Chowgule Steamships Ltd.","15.05","15.05","18.33","14.95","12.40","","","","","-166.41%","-151.41%","-8.44%","-13.79%","-77.41%","501833","BSE"
"Chromatic India Ltd","2.20","2.24","3.78","2.11","1.88","1.16","1.89","","","0.00%","-3.53%","-2.85%","0.00%","0.00%","530191","BSE"
