"2017-12-01 15:11:27.636468"
"StockName","LastTrade","LastHi","Hi52","LastLo","Lo52","BookValue","EPS","PE","DivYield","LastDiv","NetProfitMargin","OperatingMargin","EBITDMargin","ReturnOnAverageAssets","ReturnOnAverageEquity","ExchangeCode","Exchange"
"526397","965.65","0","0","0","0","300.513","618.314","0","0","0.0","15.77%","24.77%","0.29498","0.0","0.0","526397","BSE"
"524634","123.85","0","0","0","0","32.731","64.999","0","0","0.0","11.08%","14.62%","0.16272","0.0","0.0","524634","BSE"
"531978","1297.95","0","0","0","0","653.606","932.978","0","0","0.0","10.64%","14.23%","0.19683","0.0","0.0","531978","BSE"
"530133","49.85","0","0","0","0","63.828","130.434","0","0","0.0","2.69%","1.11%","0.03362","0.0","0.0","530133","BSE"
"513117","3.46","0","0","0","0","5.752","0.0","0","0","0.0","0.00%","0.00%","0.0","0.0","0.0","513117","BSE"
"506248","65.7","0","0","0","0","10.057","53.607","0","0","0.0","5.02%","8.87%","0.09635","0.10864","0.30543","506248","BSE"
"526241","4.71","0","0","0","0","6.895","1444.58","0","0","0.0","-0.03%","0.04%","0.0007","0.0","0.0","526241","BSE"
"531991","0.25","0","0","0","0","0.971","0.0","0","0","0.0","0.00%","883.33%","0.0","0.0","0.0","531991","BSE"
"507525","1250.0","0","0","0","0","547.026","157.647","0","0","0.0","23.18%","-14.39%","-0.114870004","0.0","0.0","507525","BSE"
"520077","26.7","0","0","0","0","109.751","87.483","0","0","0.0","-128.81%","-10.33%","0.522","-0.00493","-0.62228","520077","BSE"
"515055","61.8","0","0","0","0","145.638","16.573","0","0","0.0","14.75%","22.96%","0.28395","0.0","0.0","515055","BSE"
"532418","0.0","0","0","0","0","167.789","70.132","0","0","0.0","4.33%","7.80%","0.0","0.00097000005","0.01844","532418","BSE"
"526173","34.55","0","0","0","0","6.782","9.6","0","0","0.0","9.51%","1.45%","0.03125","0.00622","0.11363","526173","BSE"
"519383","53.05","0","0","0","0","159.408","176.248","0","0","0.0","7.64%","-20.01%","-0.19840999","-0.06877","0.21247","519383","BSE"
